frequency_Hz,noise_strain_per_sqrtHz
1.000000e+01,7.593750e-19
1.271426e+01,2.285606e-19
1.616523e+01,2.474446e-21
2.055289e+01,1.946198e-21
2.613148e+01,1.530721e-21
3.322423e+01,1.203941e-21
4.224214e+01,8.154103e-24
5.370774e+01,8.244923e-24
6.828540e+01,8.385682e-24
8.681981e+01,8.599257e-24
1.103849e+02,8.914136e-24
1.403462e+02,9.361920e-24
1.784398e+02,9.973000e-24
2.268730e+02,1.077234e-23
2.884521e+02,8.779644e-24
3.667454e+02,1.026280e-23
4.662896e+02,1.199652e-23
5.928525e+02,1.402311e-23
7.537680e+02,1.639206e-23
9.583599e+02,1.916120e-23
1.218483e+03,2.239813e-23
1.549211e+03,2.618188e-23
1.969707e+03,3.060483e-23
2.504336e+03,3.577496e-23
3.184077e+03,4.181848e-23
